"PUBID","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH","CV_BIO_CHILD_HH"
187,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,2,2
188,-4,-4,-4,-5,-5,-5,-4,-4,-4,-5,-5,-5,-5,-5,-5,-4,-4
189,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
190,-4,-4,-4,-4,-4,-4,-5,-4,-5,-5,-5,-4,-4,-4,-4,-4,-4
191,-4,-4,-4,-5,-4,-4,-4,-4,-4,1,1,1,1,1,2,2,-5
192,-4,-4,-4,1,2,2,2,2,3,3,3,3,3,3,3,3,4
193,-4,-4,-5,-4,-4,-4,-4,-4,1,2,2,2,2,2,2,3,3
194,-4,-4,1,1,-5,1,1,1,1,1,1,2,2,2,2,2,3
195,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,0,1,1,1,0
196,-4,-4,-5,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
197,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,1,2
198,-4,-4,-4,-4,-4,-4,-4,-4,-5,1,1,1,1,1,1,1,1
199,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
200,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4,-4,-4,-4
201,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
202,-4,-4,-4,-4,-4,1,1,1,2,2,2,2,2,2,2,2,2
203,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
204,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,1,1,2,2
